"handle","name","dataset_id","pol_age_min","pol_age_max","age_type","bacon","gc_age_min","gc_age_max","reason","new","amb_rise"
"LEWISLK","Lewis Lake",1629,-12,359,"Radiocarbon years BP",TRUE,-15,93,NA,NA,FALSE
"LILYLAKE","Lily Lake (US:Minnesota)",1633,0,14679,"Radiocarbon years BP",TRUE,0,11770,NA,NA,FALSE
"LITTBASS","Little Bass Lake",1639,0,10614,"Radiocarbon years BP",TRUE,0,10660,NA,NA,FALSE
"LKCLDSA","Lake of the Clouds",1649,8521,11707,"Varve years BP",TRUE,8260,9490,NA,NA,FALSE
"LKCLDSH","Lake of the Clouds",3482,491,9588,"Radiocarbon years BP",TRUE,71,9090,NA,NA,FALSE
"LKCLDSSW","Lake of the Clouds",3483,-20,960,"Varve years BP",NA,NA,NA,NA,NA,NA
"MABEL","Lake Mabel",1685,-14,70,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"MARTINPD","Martin Pond",1708,0,10909,"Radiocarbon years BP",TRUE,0,72,NA,NA,FALSE
"MCCRANEY","McCraney Lake",1720,-12,257,"Radiocarbon years BP",TRUE,-15,75,NA,NA,FALSE
"MINNIEN","Lake Minnie",1757,3,6534,"Radiocarbon years BP",TRUE,0,72,NA,NA,FALSE
"MINNIEO","Lake Minnie",3492,1,11581,"Radiocarbon years BP",TRUE,0,8140,NA,NA,FALSE
"MUDLKMN1","Mud Lake",1777,-12,285,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"MUDLKMN2","Mud Lake (US:Minnesota:Hubbard)",1778,-30,3631,"Radiocarbon years BP",TRUE,-30,2870,NA,NA,FALSE
"MURPHY","Murphy Lake",1781,-13,311,"Radiocarbon years BP",TRUE,-15,96,NA,NA,FALSE
"MYRTLE","Myrtle Lake",1786,0,11000,"Radiocarbon years BP",TRUE,0,11120,NA,NA,FALSE
"NELSLK","Nels Lake",1793,-33,97,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"NELSONPD","Nelson Pond",1794,5497,7770,"Radiocarbon years BP",TRUE,5540,7245,NA,NA,FALSE
"ONAMIA","Lake Onamia",1830,-9,1093,"Radiocarbon years BP",TRUE,-15,80,NA,NA,FALSE
"ONDRISPD","Ondris Pond",1831,-15,1558,"Radiocarbon years BP",TRUE,-15,975,NA,NA,FALSE
"PGONIABG","Pogonia Bog Pond",3541,-24,167,"Radiocarbon years BP",TRUE,-24,95,NA,NA,FALSE
"POGONIA","Pogonia Bog Pond",3558,-24,11117,"Radiocarbon years BP",TRUE,-24,11190,NA,NA,FALSE
"THIRDLK","Third Lake",3784,150,9977,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"THRDBGN","Third Lake",3786,292,1600,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"THRDBGW","Third Lake",3788,50,3215,"Radiocarbon years BP",TRUE,50,50,NA,NA,FALSE
"PENNINGT","Pennington Lake",1884,-12,495,"Radiocarbon years BP",TRUE,-15,93,NA,NA,FALSE
"PETERSL","Peterson Slough",1891,-30,3466,"Radiocarbon years BP",TRUE,-30,3010,NA,NA,FALSE
"PLEASAMN","Pleasant Lake",1955,-8,1245,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"PORTAGE","Portage Lake",1966,12,11780,"Radiocarbon years BP",TRUE,0,9780,NA,NA,FALSE
"REICHOW","Reichow Pond",2051,-8,645,"Radiocarbon years BP",TRUE,-15,79,NA,NA,FALSE
"REIDEL","Reidel Lake",2053,-31,11610,"Radiocarbon years BP",TRUE,-34,11630,NA,NA,FALSE
"RHOLL","Rholl Lake",2062,-9,722,"Radiocarbon years BP",TRUE,-15,78,NA,NA,FALSE
"RICEMNA","Rice Lake",2066,-14,6760,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"RICEMNB","Rice Lake",3568,-15,4297,"Radiocarbon years BP",TRUE,-18,1930,NA,NA,FALSE
"ROSSBURG","Rossburg Bog",2290,2000,12264,"Radiocarbon years BP",TRUE,2000,10100,NA,NA,FALSE
"RUTZLAKE","Rutz Lake",2314,-3,11838,"Radiocarbon years BP",TRUE,-15,12000,NA,NA,FALSE
"SEDIVY","Sedivy Lake",2354,-13,124,"Radiocarbon years BP",TRUE,-15,79,NA,NA,FALSE
"SHAGAWA","Shagawa Lake",2375,-18,1950,"Radiocarbon years BP",TRUE,-20,1935,NA,NA,FALSE
"SILVERMN","Silver Lake",2383,-13,279,"Radiocarbon years BP",TRUE,-15,94,NA,NA,FALSE
"SISEEBA","Siseebakwet South",2394,-28,632,"Radiocarbon years BP",TRUE,-32,81,NA,NA,FALSE
"SOLUM","Solum Lake",2581,-12,229,"Radiocarbon years BP",TRUE,-15,80,NA,NA,FALSE
"SOSTANCH","South Stanchfield Lake",2584,-14,131,"Radiocarbon years BP",TRUE,-15,98,NA,NA,FALSE
"SPECTACL","Spectacle Lake",2585,-12,359,"Radiocarbon years BP",TRUE,-15,93,NA,NA,FALSE
"STCATHER","St. Catherines Lake",2600,11,266,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"STONE","Stone Lake",2605,-9,682,"Radiocarbon years BP",TRUE,-15,95,NA,NA,FALSE
"STONTAM1","Stone Lake Tamarack Swamp",2607,202,10761,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"STONTAM2","Stone Lake Tamarack Swamp",3780,150,346,"Radiocarbon years BP",FALSE,NA,NA,NA,NA,FALSE
"SUNFISH","Sunfish Lake",2613,-12,544,"Radiocarbon years BP",TRUE,-15,97,NA,NA,FALSE
"TERHELL","Quallen Lake [Terhell Pond]",2638,-8,10487,"Radiocarbon years BP",TRUE,-10,4270,NA,NA,FALSE
"THOMPSON","Thompson Pond",2640,6,10175,"Radiocarbon years BP",TRUE,0,79,NA,NA,FALSE
